Species,longitude,latitude
Ceropegia oculata Hook.,73.755878,18.366277
Ceropegia vincifolia Hook.,73.01668,19.190856
Ceropegia panchganiensis Blatter & Mc Cann,73.719261,18.107813
Ceropegia lawii Hook.f.,73.524035,19.158687
Ceropegia attenuata Hook.,73.013778,19.163355
Ceropegia media (Huber) M.Y.Ansari,73.969536,18.276569
Ceropegia oculata Hook.,73.764647,18.366597
Ceropegia oculata Hook.,73.750725,18.356503
Ceropegia hirsuta Wight & Arn.,74.063774,17.611794
Ceropegia oculata Hook.,73.974129,18.279062
"Ceropegia anjanerica Malpure, M.Y.Kamble & S.R.Yadav",73.583333,19.95
Ceropegia bulbosa Roxb. var. bulbosa,69.7234,21.7203
Ceropegia bulbosa Roxb. var. lushii (Graham) Hook.f.,69.7264,21.7172
Ceropegia hirsuta Wight & Arn.,76.456118,12.16717
Ceropegia huberi Ansari,73.459242,18.475911
"Ceropegia anjanerica Malpure, M.Y.Kamble & S.R.Yadav",73.583336,19.950001
Ceropegia lawii Hook.f.,73.591802,19.939285
Ceropegia lawii Hook.f.,73.522425,19.158331
Ceropegia vincifolia Hook.,73.021341,19.186418
Ceropegia oculata Hook.,73.969536,18.276569
Ceropegia vincifolia Hook.,73.02289,19.176082
"Ceropegia anjanerica Malpure, M.Y.Kamble & S.R.Yadav",73.57,19.92
Ceropegia rollae Hemadri,73.686633,19.297575
Ceropegia attenuata Hook.,72.906792,19.221035
Ceropegia jainii Ansari & B.G.Kulk.,73.823716,17.720831
Ceropegia juncea Roxb.,76.815691,10.447006
Ceropegia attenuata Hook.,73.3027,19.00213
Ceropegia vincifolia Hook.,73.3027,19.00213
Ceropegia attenuata Hook.,73.271179,18.988659
Ceropegia vincifolia Hook.,73.823716,17.720831
Ceropegia lucida Wall.,95.734237,27.130586
Ceropegia noorjahaniae M.A.Ansari,73.96954,17.585975
Ceropegia lucida Wall.,96.535149,27.444916
Ceropegia jainii Ansari & B.G.Kulk.,73.98333,17.68333
Ceropegia wallichii Wight,78.047337,30.470951
Ceropegia huberi Ansari,77,20
Ceropegia candelabrum L. var. candelabrum.,79.616202,22.883478
Ceropegia elegans Wall.,79.61611,22.88361
Ceropegia juncea Roxb.,77.1,20.2
Ceropegia decaisneana Wight,76.7283,11.4225
Ceropegia ensifolia Bedd.,76.99,10.3
Ceropegia hirsuta Wight & Arn.,79.61711,22.891
Ceropegia elegans Wall.,79.62611,22.89361
Ceropegia juncea Roxb.,79.63611,22.9361
Ceropegia hookeri C.B.Clarke ex Hook.f.,88.46361,27.55361
Ceropegia ciliata Wight,76.7614,11.495
Ceropegia pusilla Wight & Arn.,77.211,20.0785
Ceropegia juncea Roxb.,91.633333,25.583333
Ceropegia ciliata Wight,77.2134,20.0685
Ceropegia hookeri C.B.Clarke ex Hook.f.,88.6338,27.7307
Ceropegia ciliata Wight,77.241,20.0985
Ceropegia juncea Roxb.,77.078,20.0785
Ceropegia juncea Roxb.,75.9933,10.9977
Ceropegia rollae Hemadri,73.77,19.34
Ceropegia fantastica Sedgwick,74.13,16.1
Ceropegia juncea Roxb.,75.915,11
